Dr Score,Place after Dr,XC Jump,XC Time,Total after XC,Place after XC,SJ Jump,SJ Time,Total after SJ,Final Place,Year,Division
33,16,40,8.8,81.8,33,---,---,---,W,2017,M
26.3,3,0,---,---,TE,---,---,---,TE,2017,M
30,10T,0,---,---,TE,---,---,---,TE,2017,M
34.8,23T,20,---,---,RF,---,---,---,RF,2017,M
37.5,30T,20,---,---,R,---,---,---,R,2017,M
28.3,3,0,0,28.3,2,0,0,28.3,1,2016,M
31.5,11,0,0,31.5,7,0,0,31.5,2,2016,M
32,12T,0,0,32,8,0,0,32,3,2016,M
32,12T,0,0,32,9,0,0,32,4,2016,M
32,12T,0,0.4,32.4,10,0,0,32.4,5,2016,M
28.8,4,0,0,28.8,3,4,0,32.8,6,2016,M
33.3,16T,0,0,33.3,11T,0,0,33.3,7,2016,M
29.8,5,0,0,29.8,4,4,0,33.8,8,2016,M
27.5,1,0,0,27.5,1,4,3,34.5,9,2016,M
31.3,10,0,0,31.3,6,4,0,35.3,10,2016,M
37,31T,0,0,37,19,0,0,37,11,2016,M
33.3,16T,0,0,33.3,11T,4,0,37.3,12,2016,M
37.8,33T,0,0,37.8,20,0,0,37.8,13,2016,M
32,12T,0,6,38,21,0,0,38,14,2016,M
31,9,0,0,31,5,8,0,39,15,2016,M
35.3,24T,0,0,35.3,14,4,0,39.3,16,2016,M
35.8,28,0,0,35.8,16,8,0,43.8,17,2016,M
35.5,26T,0,8.4,43.9,23,0,0,43.9,18,2016,M
36,29,0,0,36,17,8,0,44,19,2016,M
34.3,20,0,6,40.3,22,4,1,45.3,20,2016,M
34.5,21T,0,0,34.5,13,12,0,46.5,21,2016,M
35.3,24T,0,0,35.3,15,8,6,49.3,22,2016,M
33.5,19,0,16.8,50.3,26,0,0,50.3,23,2016,M
30.5,8,0,20,50.5,27,0,0,50.5,24,2016,M
41.8,40,0,5.6,47.4,24,4,0,51.4,25,2016,M
41.5,39,0,7.2,48.7,25,4,0,52.7,26,2016,M
30.3,7,20,2.8,53.1,28,0,0,53.1,27,2016,M
37,31T,0,0,37,18,20,0,57,28,2016,M
33.3,16T,20,6.8,60.1,30,0,0,60.1,29,2016,M
40,38,0,14,54,29,12,0,66,30,2016,M
34.5,21T,20,9.6,64.1,31,4,0,68.1,31,2016,M
39.3,36,40,1.2,80.5,32,0,0,80.5,32,2016,M
38.5,35,20,36,94.5,33,0,0,94.5,33,2016,M
30,6,60,13.2,103.2,34,4,0,107.2,34,2016,M
39.5,37,125,8,172.5,35,4,0,176.5,35,2016,M
27.8,2,40,---,---,R,---,---,---,R,2016,M
34.8,23,E,---,---,E,---,---,---,E,2016,M
35.5,26T,20,---,---,RF,---,---,---,RF,2016,M
36.5,30,0,---,---,TE,0,0,---,TE,2016,M
37.8,33T,0,---,---,RF,---,---,---,RF,2016,M
23.3,1,0,0,23.3,1,4,0,27.3,1,2018,R
32.3,7T,0,0,32.3,4,0,0,32.3,2,2018,R
33.3,11,0,0,33.3,6,0,0,33.3,3,2018,R
29.8,5,0,0,29.8,2,4,0,33.8,4,2018,R
31.5,6,0,0,31.5,3,4,0,35.5,5,2018,R
36.5,15,0,0,36.5,9,0,0,36.5,6,2018,R
38.5,18,0,0,38.5,11,0,0,38.5,7,2018,R
35,13,0,0,35,8,4,0,39,8,2018,R
32.5,10,0,0,32.5,5,4,5,41.5,9,2018,R
